year_range,Arch Pathol Lab Med word_count,Arch Pathol Lab Med p_value,Nature word_count,Nature p_value,Radiology word_count,Radiology p_value,Science word_count,Science p_value,The New England journal of medicine word_count,The New England journal of medicine p_value,Total word_count,Total p_value
1980-1984,151.183,0.0,183.2965,0.0,169.3113,0.0,164.3077,0.0,183.6531,0.0,177.9794,0.0
1985-1989,172.8927,0.0,187.0545,0.0,165.8025,0.0,173.4929,0.0,228.3395,0.0,194.0494,0.0
1990-1994,194.3539,0.0001,170.7029,0.0,173.6226,0.0,155.0492,0.0,260.7025,0.0,188.6125,0.0
1995-1999,193.1922,0.0001,177.2495,0.0,209.7798,0.0,136.6727,0.0,259.3189,0.0,199.4075,0.019
2000-2004,188.0734,0.0,181.2178,0.0,227.1258,0.0,144.7121,0.0,256.0905,0.0,200.18,0.1319
2005-2009,195.3571,0.0011,210.6511,0.0003,224.2932,0.0,140.7531,0.0,245.7133,0.0,204.7425,0.009
2010-2014,198.9042,0.0741,217.1418,0.0,236.8529,0.0,135.2258,0.0,236.2857,0.0,206.5175,0.0001
2015-2019,201.5607,0.6825,217.1077,0.0,284.5431,0.0,133.6424,0.0,236.7447,0.0,223.7962,0.0
2020-2023,220.8028,0.0,207.2953,0.0,290.4152,0.0,135.928,0.0,198.5714,0.7543,220.5469,0.0
Total,193.4598,0.0,197.8223,0.0,220.6326,0.0,146.1878,0.0,224.3741,0.0,201.7591,1.0
